date,stars,target,text
23-Nov-15,5,Positive,"I have been using this earphone from last 2 months in my redmi 3s prime. While using this earphone, All the time I am using in-built audio player of my phone in headphone mode. As a result the out put sound of this earphone is very balanced, vocals , bass , high mids and lows are also equally balanced. "
13-Apr-16,5,Positive,"BASS king bt Vocals are average...bt w8 let me clear a thing,,a earphone with great bass can be tuned to crispy vocals (using a good equalizer) bt a earphone lacking hardware for grt bass cannot e.g., Sennheiser cx series...after using it for around half year I would say these are better"
19-May-16,5,Positive,"Material quality great. Sound is good but don't expect anything extraordinary. Bass is just about fine. I bought Boat 225 with this and they have a heavier bass. If you play games like PUBG then tracing footsteps in isolation of other sound will be difficult in this model as compared to Boat 225, where spotting enemy through footsteps is much easier and adds so much advantage in your game because of footsteps audio clarity and isolation due to heavier bass in Boat 225. Ant W56 rules in design, looks, decent sound quality."
22-Sep-16,5,Positive,I used many brands but this one is so so trustable and provide good customer support. And sound quality including bass is just amazing
29-Sep-16,5,Positive,Reviewing this product after complete burn in after a month or so. Incredible bass and treble. Excellent vocals. Lower end is good. Mid range and top end is comparable to Sony XB50 and slightely better than already exceptional XB30. Vocals are certainly not as great as Senheisser CX275 but then that one costs north of 1500 and is a benchmark for vocals in the lower spectrum of earphones.
08-Oct-16,5,Positive,"The performance of this headphone is awesome but it keeps falling off from my ear. I was planning to give it to my friend because i was not able to use this properly. Then came the break i was looking for. For everyone who is having an issue of headphone not staying on your ear, can replace the default earbuds with a pair of foam earbuds which you can get for Rs20 off from aliexpress"
02-May-17,5,Positive,"It is an earphone which deserves 5 star rating. The W56 is THE BEST in this price range apart from other earphones. Before this, I was using Boat Bass Head 225 and that too was nice but, if I compare Ant with Boat then no doubt in every parameter the Ant is far much better than Boat. "
04-May-17,5,Positive,"I listened indhira logathu song from 2.O (a tamil movie) in musicolet app.(we can boost bass in this app) probably, you guys know that, we usually check the quality of any headset with Rahman songs only (even we are Ilayaraja fan). believe me, this is the best headset ever I've been used."
05-May-17,5,Positive, A sticker pack! For pasting on your laptop or mobile. About durability i ll definitely post within a year. But happy buying. This is worth trying.
14-May-17,5,Positive,Build quality packaging everything was perfect except sound my ear starts paining because of loud screechy treble...
18-May-17,5,Positive,"Best part is this packaging was as same as there 2000rs earphones. They didn't compromise with packaging. It was superb. You get earphones in a metal box with carrying case, extra size earbuds, some stickers"
